user,time,name,Activity,total Volume,total Packets,primary Packet % ,primary Volume % ,primary Total TCP Packets ,primary Total TCP Volume ,real time Packet % ,real time Volume % ,real time Total UDP Packets ,real time Total UDP Volume 
a.b.c.d,1646972873,Multiverse2,SUE,432962,2878,0.760250,0.409537,2188,177314,0.195969,0.385355,166844,564
a.b.c.d,1646972893,Multiverse2,SUE,326600,2406,0.748961,0.487107,1802,159089,0.230673,0.483374,157870,555
a.b.c.d,1646972913,Multiverse2,SUE,270698,1465,0.595222,0.388193,872,105083,0.374061,0.570640,154471,548
a.b.c.d,1646972933,Multiverse2,SUE,334433,2063,0.706253,0.415982,1457,139118,0.272419,0.477857,159811,562
a.b.c.d,1646972953,Multiverse2,SUE,350736,2587,0.713568,0.379017,1846,132935,0.242366,0.480686,168594,627
a.b.c.d,1646972973,Multiverse2,SUE,945966,12124,0.525734,0.479824,6374,453897,0.031178,0.122965,116321,378
a.b.c.d,1646972993,Multiverse2,SUE,2068549,27570,0.975408,0.890926,26892,1842925,0.016685,0.072277,149508,460
a.b.c.d,1646973013,Multiverse2,SUE,650974,8198,0.694194,0.561138,5691,365286,0.073189,0.246606,160534,600
a.b.c.d,1646973033,Multiverse2,SUE,807710,9363,0.386201,0.359107,3616,290054,0.045925,0.139174,112412,430
a.b.c.d,1646973053,Multiverse2,SUE,372783,3875,0.819613,0.540813,3176,201606,0.173677,0.445930,166235,673
a.b.c.d,1646973073,Multiverse2,SUE,304496,2663,0.014645,0.026966,39,8211,0.242208,0.540437,164561,645
a.b.c.d,1646973093,Multiverse2,SUE,272570,1891,0.011105,0.016484,21,4493,0.332099,0.578042,157557,628
a.b.c.d,1646973113,Multiverse2,SUE,1388367,17604,0.447796,0.411237,7883,570948,0.022438,0.086662,120318,395
a.b.c.d,1646973133,Multiverse2,SUE,377799,3517,0.816889,0.543469,2873,205322,0.168894,0.426020,160950,594
a.b.c.d,1646973153,Multiverse2,SUE,588369,5775,0.090909,0.088718,525,52199,0.099048,0.256178,150727,572
a.b.c.d,1646973173,Multiverse2,SUE,1544068,19426,0.155101,0.138168,3013,213341,0.026511,0.108074,166874,515
a.b.c.d,1646973193,Multiverse2,SUE,843940,9859,0.263617,0.217966,2599,183950,0.051324,0.199755,168581,506
a.b.c.d,1646973213,Multiverse2,SUE,508579,5919,0.004224,0.009295,25,4727,0.104410,0.309895,157606,618
a.b.c.d,1646973233,Multiverse2,AT,682625,5238,0.002864,0.001502,15,1025,0.097938,0.159546,108910,513
a.b.c.d,1646973253,Multiverse2,AT,343736,4821,0.000415,0.000349,2,120,0.004563,0.017051,5861,22
a.b.c.d,1646973273,Multiverse2,AT,516271,2683,0.002236,0.000786,6,406,0.012672,0.011649,6014,34
a.b.c.d,1646973293,Multiverse2,AT,689634,8495,0.000000,0.000000,0,0,0.009535,0.048121,33186,81
a.b.c.d,1646973313,Multiverse2,AT,126099,342,0.032164,0.010111,11,1275,0.055556,0.039271,4952,19
a.b.c.d,1646973333,Multiverse2,AT,662614,7854,0.001019,0.000800,8,530,0.017443,0.075285,49885,137
a.b.c.d,1646973354,Multiverse2,AT,52623,169,0.000000,0.000000,0,0,0.000000,0.000000,0,0
a.b.c.d,1646973374,Multiverse2,AT,887903,10378,0.001253,0.001848,13,1641,0.013105,0.059971,53248,136
a.b.c.d,1646973394,Multiverse2,AT,421635,3488,0.020642,0.029495,72,12436,0.079702,0.251675,106115,278
a.b.c.d,1646973414,Multiverse2,AT,672130,7832,0.000000,0.000000,0,0,0.021706,0.084820,57010,170
a.b.c.d,1646973434,Multiverse2,AT,420350,2939,0.164682,0.106340,484,44700,0.178292,0.411324,172900,524
a.b.c.d,1646973454,Multiverse2,SUE,684870,6033,0.779712,0.512183,4704,350779,0.045914,0.136090,93204,277
a.b.c.d,1646973474,Multiverse2,SUE,459427,4336,0.889991,0.661063,3859,303710,0.093865,0.312439,143543,407
a.b.c.d,1646973494,Multiverse2,SUE,1213491,14344,0.961796,0.822546,13796,998152,0.030466,0.124786,151427,437
a.b.c.d,1646973514,Multiverse2,SUE,376448,3167,0.856647,0.596595,2713,224587,0.129144,0.374596,141016,409
a.b.c.d,1646973534,Multiverse2,SUE,616064,6739,0.922244,0.742140,6215,457206,0.068853,0.243038,149727,464
a.b.c.d,1646973554,Multiverse2,SUE,736014,7515,0.924684,0.748065,6949,550586,0.067997,0.208837,153707,511
a.b.c.d,1646973574,Multiverse2,SUE,316552,1952,0.670594,0.468441,1309,148286,0.310963,0.513135,162434,607
a.b.c.d,1646973594,Multiverse2,SUE,851501,9639,0.944911,0.817516,9108,696116,0.051665,0.176122,149968,498
a.b.c.d,1646973614,Multiverse2,SUE,882952,9442,0.929994,0.744228,8781,657118,0.058462,0.182603,161230,552
a.b.c.d,1646973634,Multiverse2,SUE,582949,5627,0.886974,0.710676,4991,414288,0.103785,0.270152,157485,584
a.b.c.d,1646973654,Multiverse2,SUE,226192,1378,0.492743,0.228620,679,51712,0.473875,0.743223,168111,653
a.b.c.d,1646973674,Multiverse2,SUE,439057,3405,0.807636,0.605858,2750,266006,0.174743,0.373810,164124,595
a.b.c.d,1646973694,Multiverse2,SUE,256727,1199,0.419516,0.224071,503,57525,0.527940,0.648101,166385,633
a.b.c.d,1646973714,Multiverse2,SUE,278037,2593,0.645970,0.460324,1675,127987,0.169302,0.393631,109444,439
a.b.c.d,1646973734,Multiverse2,SUE,493517,5419,0.535339,0.405749,2901,200244,0.083226,0.316040,155971,451
a.b.c.d,1646973754,Multiverse2,SUE,400858,4042,0.714003,0.533491,2886,213854,0.087828,0.233721,93689,355
a.b.c.d,1646973774,Multiverse2,SUE,1173297,14598,0.964447,0.856106,14079,1004467,0.032059,0.134962,158350,468
a.b.c.d,1646973794,Multiverse2,SUE,325037,3312,0.745471,0.555266,2469,180482,0.073973,0.273335,88844,245
a.b.c.d,1646973814,Multiverse2,SUE,353739,2890,0.788235,0.471588,2278,166819,0.192734,0.437823,154875,557
a.b.c.d,1646973834,Multiverse2,SUE,364058,3184,0.476131,0.337792,1516,122976,0.168342,0.414321,150837,536
a.b.c.d,1646973854,Multiverse2,SUE,234617,1857,0.714593,0.416914,1327,97815,0.263866,0.553660,129898,490
a.b.c.d,1646973874,Multiverse2,SUE,620338,4653,0.877713,0.512193,4084,317733,0.064475,0.180279,111834,300
a.b.c.d,1646973894,Multiverse2,SUE,495576,4002,0.834333,0.496554,3339,246080,0.132684,0.320375,158770,531
a.b.c.d,1646973914,Multiverse2,SUE,357734,3095,0.811632,0.544628,2512,194832,0.175767,0.438468,156855,544
a.b.c.d,1646973934,Multiverse2,SPE,517925,5811,0.912235,0.689505,5301,357112,0.075030,0.240388,124503,436
a.b.c.d,1646973954,Multiverse2,SPE,1115390,10663,0.903686,0.562104,9636,626965,0.062459,0.195026,217530,666
a.b.c.d,1646973974,Multiverse2,SPE,392253,2479,0.646632,0.286162,1603,112248,0.339653,0.699204,274265,842
a.b.c.d,1646973994,Multiverse2,SPE,361388,1192,0.178691,0.049636,213,17938,0.800336,0.938321,339098,954
a.b.c.d,1646974014,Multiverse2,SPE,432626,1125,0.049778,0.009179,56,3971,0.912000,0.976245,422349,1026
a.b.c.d,1646974034,Multiverse2,SPE,459111,1070,0.066355,0.017750,71,8149,0.870093,0.902527,414360,931
a.b.c.d,1646974054,Multiverse2,SPE,489849,1154,0.123917,0.029783,143,14589,0.852686,0.959955,470233,984
a.b.c.d,1646974074,Multiverse2,SPE,511293,1058,0.042533,0.006476,45,3311,0.924386,0.983507,502860,978
a.b.c.d,1646974094,Multiverse2,SPE,464539,1070,0.060748,0.011097,65,5155,0.879439,0.909409,422456,941
a.b.c.d,1646974114,Multiverse2,SPE,457724,1135,0.049339,0.015647,56,7162,0.922467,0.972722,445238,1047
a.b.c.d,1646974134,Multiverse2,SPE,462197,1156,0.001730,0.000350,2,162,0.960208,0.985850,455657,1110
a.b.c.d,1646974154,Multiverse2,SPE,525943,1489,0.166555,0.040978,248,21552,0.795165,0.894502,470457,1184
a.b.c.d,1646974174,Multiverse2,SPE,539691,1526,0.163172,0.053753,249,29010,0.789646,0.879841,474842,1205
a.b.c.d,1646974194,Multiverse2,SPE,450460,1151,0.019983,0.005073,23,2285,0.952215,0.982826,442724,1096
a.b.c.d,1646974214,Multiverse2,SPE,312253,1272,0.458333,0.152370,583,47578,0.515723,0.829622,259052,656
a.b.c.d,1646974234,Multiverse2,SPE,199819,713,0.051893,0.016960,37,3389,0.886396,0.838319,167512,632
a.b.c.d,1646974254,Multiverse2,SPE,175761,719,0.048679,0.031901,35,5607,0.898470,0.938519,164955,646
a.b.c.d,1646974274,Multiverse2,SPE,190098,780,0.128205,0.080727,100,15346,0.838462,0.892003,169568,654
a.b.c.d,1646974294,Multiverse2,SPE,211266,795,0.075472,0.022573,60,4769,0.847799,0.801198,169266,674
a.b.c.d,1646974314,Multiverse2,SPE,173535,704,0.022727,0.020947,16,3635,0.930398,0.946322,164220,655
a.b.c.d,1646974334,Multiverse2,SPE,468579,4324,0.870490,0.574947,3764,269408,0.117253,0.393052,184176,507
a.b.c.d,1646974354,Multiverse2,SPE,413011,2652,0.763198,0.364247,2024,150438,0.184389,0.410936,169721,489
a.b.c.d,1646974374,Multiverse2,SPE,863445,7118,0.889997,0.471896,6335,407456,0.104805,0.521227,450051,746
a.b.c.d,1646974394,Multiverse2,SPE,426189,4865,0.862282,0.594743,4195,253473,0.132580,0.395081,168379,645
a.b.c.d,1646974414,Multiverse2,SPE,460668,5158,0.865839,0.583954,4466,269009,0.126406,0.361145,166368,652
a.b.c.d,1646974434,Multiverse2,SPE,528547,6389,0.890593,0.669265,5690,353738,0.103929,0.319726,168990,664
a.b.c.d,1646974454,Multiverse2,SPE,297141,2803,0.754549,0.431960,2115,128353,0.235105,0.547329,162634,659
a.b.c.d,1646974474,Multiverse2,SPE,422711,4471,0.841870,0.534521,3764,225948,0.145829,0.392337,165845,652
a.b.c.d,1646974494,Multiverse2,SPE,406120,4607,0.867376,0.621371,3996,252351,0.123508,0.350426,142315,569
a.b.c.d,1646974514,Multiverse2,SPE,702822,1793,0.428332,0.085712,768,60240,0.553263,0.906265,636943,992
a.b.c.d,1646974534,Multiverse2,SPE,203036,1019,0.514230,0.208180,524,42268,0.434740,0.620309,125945,443
a.b.c.d,1646974554,Multiverse2,HS,136187,499,0.160321,0.044226,80,6023,0.569138,0.614170,83642,284
a.b.c.d,1646974576,Multiverse2,HS,30993,57,0.035088,0.003872,2,120,0.017544,0.002646,82,1
